STD_YM,MENU_NM,TOP_PRC,LWST_PRC,AVG_PRC
202104,가께우동,7000,4500,4564
202104,가끼아게동,8000,6500,7100
202104,가든샐러드,14000,2000,7004
202104,가또쇼콜라,18000,1800,6775
202104,가라아게,17000,680,8159
202104,가락국수,6000,3000,4559
202104,가래떡구이,7000,2000,4432
202104,가리비,50000,2000,18547
202104,가리비구이,70000,7000,30020
202104,가리비찜,59000,10000,27463
202104,가리비칼국수,11000,7000,8000
202104,가릿국밥,10000,10000,10000
202104,가마도로,89000,35000,42941
202104,가마메시,20000,6900,13450
202104,가마솥설렁탕,11000,4000,7577
202104,가마솥통닭,17000,7000,13428
202104,가쓰오우동,8000,2900,5016
202104,가오리찜,65000,7000,21460
202104,가오리회,25000,25000,25000
202104,가이바시,20000,6000,13000
202104,가이세키,180000,180000,180000
202104,가이센동,15000,14000,14333
202104,가이센벤토,15000,15000,15000
202104,가자미구이,35000,1000,12321
202104,가자미물회,15000,7000,12214
202104,가자미조림,43000,6000,20567
202104,가자미찌개,35000,15000,24375
202104,가자미찜,45000,8000,25750
202104,가자미회,120000,15000,37778
202104,가자미회덮밥,10000,8000,8667
202104,가지구이,20000,4000,9545
202104,가지라자냐,25000,13000,18000
202104,가지튀김,35000,1500,12167
202104,가츠동,70000,3000,7290
202104,가츠에비동,9000,6000,7583
202104,가츠오우동,8000,4000,7143
202104,가케우동,8000,2900,5435
202104,가쿠니동,9000,6000,7352
202104,가키아게우동,7500,7000,7333
202104,가토쇼콜라,35000,3000,7377
202104,가펠쾰쉬,4500,4500,4500
202104,각재기국,10000,6000,7538
202104,각제기조림,20000,20000,20000
202104,간고등어,15000,10000,12500
202104,간고등어구이,13800,4000,9275
202104,간바레오또상,38000,18000,32355
202104,간사이오뎅,20000,6000,14688
202104,간사이우동,8000,4000,5600
202104,간장게장,170000,2000,21132
202104,숙성항정살,19000,3000,11991
202104,숙성회,65000,11000,31632
202104,숙성회튀김,15000,15000,15000
202104,숙주차돌박이,20000,6000,11447
202104,숙회,40000,8000,27429
202104,순대,22000,1000,3970
202104,순대곰탕,7000,6000,6725
202104,순대곱창,23000,5000,10114
202104,순대곱창볶음 ,30000,5500,14148
202104,순대국밥,9000,2000,6422
202104,순대내장국밥,7000,6000,6500
202104,순대따로국밥,8000,6000,7000
202104,순대버섯전골,25000,22000,24400
202104,순대범벅,4500,2000,3800
202104,순대볶음,25000,3000,10051
202104,순대수육,25000,15000,19167
202104,순대술국,20000,10000,13722
202104,순대전골,35000,7000,19906
202104,순대탕,7000,5000,6167
202104,순대튀김,15000,400,6360
202104,순댓국,9000,4000,6379
202104,순두부,15000,1000,6078
202104,순두부수제비,14000,4500,8333
202104,순두부전골,40000,6000,16031
202104,순두부짬뽕,10000,6500,8044
202104,순두부찌개,33000,790,5983
202104,순두부청국장,8000,6000,6833
202104,순두부탕,12000,3000,5626
202104,순메밀국수,10000,8000,8667
202104,순살닭강정,22000,4000,16313
202104,순살닭꼬치,16900,2000,4355
202104,순살마늘치킨,20000,12000,17356
202104,순살바베큐,22000,5300,17684
202104,순살양념강정,15000,15000,15000
202104,순살양념치킨,20000,6000,15688
202104,순살찜닭,50000,2000,21529
202104,순살치킨,20000,1500,13144
202104,순살크리스피치킨,20500,8000,16208
202104,순살파닭,21000,7800,16143
202104,순살후라이드,170000,3000,15280
202104,술국,25000,1000,11825
202104,술떡,2000,2000,2000
202104,숭어,80000,10000,27419
202104,숭어무침,23000,23000,23000
202104,숭어회,40000,10000,29500
202104,쉬림프파스타,17000,6900,12714
202104,슈,3000,500,1954
202104,슈니첼,25000,8000,14060
202104,슈바인스학세,38000,19000,30333
202104,슈바인학센,45000,13900,28055
202104,슈크림,4000,600,1883
202104,슈크림라떼,6000,3000,4814
202104,슈크림빵,3500,500,1270
202104,슈하스코,25300,22000,23650
202104,스끼야끼,38000,8000,20275
202104,스모어,10000,1000,3244
202104,스무디,70000,1500,4546
202104,스시,216000,1500,19483
202104,스시롤,10000,6000,6750
202104,스콘,6000,500,2902
202104,스키야키,100000,7900,23426
202104,스튜,20900,15800,17743
202104,스프,10000,990,4590
202104,스프링롤,80000,1500,5528
202104,시샤모구이,20000,2900,10595
202104,시오라멘,68000,5500,8713
202104,쌀국수,25000,2500,7339
202104,쑥절편,13000,13000,13000
202104,쑥차,7000,5000,5444
202104,아귀수육,50000,20000,31250
202104,아귀찜,80000,6900,27419
202104,아귀탕,45000,5000,17125
202104,아귀회,49000,49000,49000
202104,아나고구이,60000,10000,35308
202104,아나고동,16000,8500,13417
202104,아나고두루치기,50000,50000,50000
202104,아나고볶음,50000,40000,45000
202104,아나고사시미,35000,35000,35000
202104,아나고샤브샤브,50000,50000,50000
202104,아나고양념,11000,11000,11000
202104,아나고전골,60000,60000,60000
202104,아나고탕,60000,8000,30400
202104,아나고통튀김,20000,20000,20000
202104,아나고회,50000,10000,31967
202104,아라다끼,15000,15000,15000
202104,아라비아따,19000,4500,11721
202104,아라비아따파스타,14900,8000,11325
202104,아라비아타파스타,16000,9000,12933
202104,아란치니,25000,3000,11416
202104,아롱사태수육,30000,10000,21286
202104,아마트리치아나,27000,4800,12087
202104,아메리카노,45000,200,3164
202104,아메리칸블랙퍼스트,10000,7900,8950
202104,아몬드라떼,6500,1900,4482
202104,아몬드쿠키,5000,1500,3357
202104,아몬드크루아상,3700,2800,3333
202104,아바이국밥,10000,7000,8500
202104,아바이사골순대국,8000,8000,8000
202104,아바이순대,20000,5000,11821
202104,아보카도롤,12000,8000,10250
202104,아보카도버거,14500,7000,10203
