사업자등록번호,상품코드,상품코드명
3129******,5046700101,배추김치
3129******,5046700201,열무김치
3129******,5046700501,깍두기
1228******,5020171301,티백
1228******,5017155102,소금
1228******,5017155101,가공소금및정제소금
1228******,5022129601,즉석건조식품
1228******,5022129701,식사대용식품
1228******,5016151004,포도당
2278******,5046700101,배추김치
2278******,5046700201,열무김치
2278******,5046709601,갓김치
2278******,5046709901,백김치
2448******,5011209901,식육가공품
2448******,5012153901,신선한생선
6178******,5012159801,수산물가공품
6068******,5012159802,어육가공품
3142******,5013170101,생우유
3160******,5022129701,식사대용식품
3160******,5022110101,곡류
