사업자등록번호,상품코드,상품코드명
1418******,5610153101,신발장
6161******,5610153800,찬장
6161******,5610153801,찬장
6161******,5610159501,기타미분류가구
4160******,5611210201,작업용의자
4160******,5610170301,책상
1168******,5610160101,파라솔
2158******,5610150201,소파
2158******,5610170301,책상
2158******,5611210801,책걸상
1438******,5610159201,청소도구함
1438******,5610150701,책장
1438******,5610151501,침대
1438******,5610151601,장롱
1438******,5610151901,응접탁자
1438******,5610152001,사물함
1438******,5610152003,군용사물함
1438******,5610153001,캐비닛
1438******,5610153101,신발장
1438******,5610153801,찬장
