Invoice/Item Number,Date,Store Number,Store Name,Address,City,County,Category,Category Name,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),year,month
INV-05864400001,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1082000.0,Imported Cordials & Liqueurs,Skyy Spirits Inc,964815,Cynar High Proof 70,6,1000,$17.50,$26.25,1,$157.50,1.0,2017,7
INV-05864400002,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1062100.0,Gold Rum,William Grant & Sons Inc,942646,Flor De Cana Gold,12,750,$10.03,$15.05,3,$180.60,2.25,2017,7
INV-05864400003,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1901200.0,Special Order Items,Laird & Company,903622,Moletto Distillato D'uva Grappa,6,750,$18.00,$27.00,1,$162.00,0.75,2017,7
INV-05864400004,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1901200.0,Special Order Items,Phillips Beverage,903661,Phillips Butterscotch Schnapps,12,750,$4.00,$6.00,1,$72.08,0.75,2017,7
INV-05864400005,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1092000.0,Imported Distilled Spirits Specialty,Paterno Imports LTD,966056,Nonino Quintessentia Amaro,6,750,$26.29,$39.44,1,$236.64,0.75,2017,7
INV-05864400006,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,,,OLE SMOKY DISTILLERY LLC,986771,Ole Smoky White Lightnin' Moonshine,6,750,$11.00,$16.50,2,$99.00,1.5,2017,7
INV-05864400007,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1901200.0,Special Order Items,McCormick Distilling Co.,941940,360 Madagascar Vanilla Vodka,12,750,$7.00,$10.50,1,$126.00,0.75,2017,7
INV-05864400008,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1901200.0,Special Order Items,Mhw LTD,902007,St Elizabeth Allspice Dram,12,750,$16.25,$24.38,1,$292.56,0.75,2017,7
INV-05864500001,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1011400.0,Tennessee Whiskies,Brown Forman Corp.,26821,Jack Daniels Old #7 Black Lbl Mini,12,500,$9.06,$13.59,1,$163.08,0.5,2017,7
INV-05864500002,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1032100.0,Imported Vodkas,PERNOD RICARD USA,34001,Absolut Swedish Vodka 80 Prf Mini,10,600,$7.92,$11.88,1,$118.80,0.6,2017,7
INV-05864500003,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1031100.0,American Vodkas,FIFTH GENERATION INC,38180,Titos Handmade Mini,5,600,$12.80,$19.20,2,$96.00,1.2,2017,7
INV-05864500004,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1062400.0,Spiced Rum,DIAGEO AMERICAS,43331,Captain Morgan Spiced Rum Mini,12,500,$4.80,$7.20,1,$86.40,0.5,2017,7
INV-05864500005,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1081600.0,Whiskey Liqueur,SAZERAC COMPANY  INC,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,$29.72,$44.58,2,$44.58,6.0,2017,7
INV-05864600001,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1022200.0,100% Agave Tequila,Brown Forman Corp.,3657,Herradura Gold Reposado 6pak,6,750,$24.49,$36.74,1,$220.44,0.75,2017,7
